acousticness,danceability,duration,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo,tempo_confidence,time_signature,valence,name,artist,Like
0.0626,0.66,190.18667,190187,0.754,95,0,4,0.1,-2.84,0,69,1/1/13,0.051,110.02,0.78,4,0.899,That's My Kind Of Night,Luke Bryan,N
0.463,0.731,165.38667,165387,0.469,96,1.04E-06,5,0.103,-7.226,1,78,2/1/17,0.0326,98.963,0.28,4,0.631,Body Like A Back Road,Sam Hunt,N
0.103,0.803,214.48,214480,0.585,97,3.94E-06,8,0.0644,-5.861,1,77,5/27/16,0.0432,105.017,0.715,4,0.593,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,N
0.61,0.837,205.68,205680,0.571,98,0.000898,5,0.0849,-8.273,0,76,11/13/15,0.0922,125.034,0.883,4,0.801,What Do You Mean?,Justin Bieber,N
0.162,0.799,227.83342,227833,0.586,99,2.03E-06,11,0.193,-6.735,1,72,1/17/14,0.0377,120.97,0.67,4,0.549,Rather Be (feat. Jess Glynne),Clean Bandit,N
0.00261,0.762,209.32,209320,0.7,100,1.56E-05,9,0.153,-6.021,0,82,6/2/17,0.0694,116.073,0.6,4,0.608,New Rules,Dua Lipa,N
0.16,0.533,260.17333,260173,0.637,101,1.12E-05,6,0.369,-5.571,1,69,3/21/88,0.0323,140.167,0.605,4,0.292,Every Rose Has Its Thorn - Remastered 2003,Poison,N
0.124,0.582,234.49333,234493,0.606,102,0.00139,6,0.151,-9.961,1,68,3/13/84,0.0289,111.441,0.174,5,0.504,Drive,The Cars,N
0.112,0.933,214.65333,214653,0.528,103,0.312,5,0.163,-6.472,0,81,6/27/80,0.161,109.967,0.773,4,0.754,Another One Bites The Dust - Remastered 2011,Queen,Y
0.0201,0.728,236.62667,236627,0.675,104,0,10,0.125,-7.719,1,20,9/23/97,0.139,146.032,0.626,4,0.86,You Must Be Good,The Slackers,Y
1.55E-05,0.397,149.98667,149987,0.961,105,0.173,5,0.261,-5.358,0,19,2006,0.0825,104.974,0.684,4,0.574,You've Never Been Right,Melvins,Y
0.001,0.435,160.16,160160,0.931,106,0.478,4,0.672,-6.696,1,17,11/4/77,0.03,184.572,0.876,4,0.905,We're a Happy Family - Remastered Version,Ramones,Y
0.48,0.214,313.37333,313373,0.91,107,0.00839,8,0.0517,-6.662,1,64,10/25/68,0.389,175.561,0.012,4,0.447,Voodoo Child (Slight Return),Jimi Hendrix,Y
0.241,0.545,140.18667,140187,0.707,108,0,3,0.368,-5.302,1,36,1/21/14,0.0386,166.692,0.642,3,0.607,Two Coffins,Against Me!,Y
0.0714,0.715,202.49247,202492,0.6,109,0.00165,5,0.0876,-7.728,0,56,2011,0.0264,86.989,0.284,4,0.77,The World (Is Going Up In Flames),Charles Bradley,Y
0.00638,0.434,413.30667,413307,0.697,110,4.47E-05,11,0.356,-4.39,0,40,11/18/97,0.0653,109.244,0.247,4,0.257,Teeth Like God's Shoeshine,Modest Mouse,Y
0.000229,0.455,208.10259,208103,0.909,111,0,1,0.0934,-5.266,1,54,10/4/99,0.0829,129.801,0.594,3,0.262,Saturday Night,Misfits,Y
0.00162,0.625,156.93333,156933,0.856,112,2.01E-06,10,0.234,-4.939,1,28,8/27/96,0.0369,102.087,0.592,4,0.81,Same In The End,Sublime,Y
0.0142,0.835,200.12054,200121,0.489,113,0.493,1,0.0711,-12.779,1,0,11/27/15,0.104,123.959,0.806,4,0.734,Roots of Dub,"Lee ""Scratch"" Perry",Y
0.00123,0.284,241.97333,241973,0.996,114,0,4,0.292,-2.285,1,32,6/6/11,0.135,160.224,0.296,4,0.182,Turn The Season,Fucked Up,Y
0.524,0.401,129.17333,129173,0.907,115,0,11,0.48,-11.422,0,49,1978,0.0679,90.302,0.205,4,0.317,Nervous Breakdown,Black Flag,Y
0.00718,0.726,286.93333,286933,0.861,116,0.266,6,0.095,-6.438,1,54,1/1/93,0.0665,98.501,0.461,4,0.457,My Name Is Mud,Primus,Y
0.0126,0.401,370.31238,370312,0.544,117,0.0448,6,0.145,-13.893,1,48,7/21/71,0.0392,77.17,0.036,4,0.513,Into the Void - 2014 Remaster,Black Sabbath,Y
2.25E-05,0.395,313.36,313360,0.932,118,0.0206,1,0.0816,-8.474,0,0,8/25/88,0.056,94.57,0.289,4,0.699,Dyers Eve,Metallica,Y
0.202,0.151,458.32,458320,0.625,119,0.312,10,0.113,-7.455,1,19,2012,0.0399,184.159,0.095,4,0.566,Doom 84,Screaming Females,Y
0.0898,0.24,388.66717,388667,0.546,120,0.00648,2,0.0898,-10.026,1,48,1/12/69,0.0548,181.373,0.132,4,0.429,Dazed and Confused - 2014 Remaster,Led Zeppelin,Y
0.436,0.699,167.04,167040,0.633,121,9.32E-05,11,0.0291,-6.249,1,12,6/15/69,0.0261,91.398,0.659,4,0.907,Born Under A Bad Sign,Albert King,Y
0.726,0.479,208.25333,208253,0.467,122,0,5,0.162,-7.003,1,41,1/29/08,0.027,90.777,0.392,4,0.197,Blue Jeans & White T-Shirts,The Gaslight Anthem,Y
0.574,0.824,202.5941,202594,0.61,123,0.0175,4,0.123,-8.875,0,28,2003,0.307,155.391,0.397,4,0.8,Bird In Hand,Lee Perry & The Upsetters,Y
0.00305,0.481,151.96,151960,0.88,124,0.642,4,0.13,-1.108,1,52,4/23/76,0.176,156.859,0.568,4,0.961,Beat on the Brat - 2016 Remaster,Ramones,Y
0.135,0.567,264.6,264600,0.65,125,1.94E-05,7,0.11,-5.478,1,60,1/1/01,0.0447,76.036,0.14,4,0.154,Hero,Enrique Iglesias,N
0.00242,0.585,237.03973,237040,0.842,126,0.00686,9,0.0866,-5.883,0,66,3/23/04,0.0556,118.211,0.873,4,0.428,Time Is Running Out,Muse,Y
0.644,0.823,191.90667,191907,0.398,127,5.65E-06,7,0.0937,-8.22,1,69,1/1/05,0.0951,114.178,0.744,4,0.578,Banana Pancakes,Jack Johnson,N
0.243,0.265,269.45333,269453,0.312,128,0,7,0.0893,-11.689,1,76,12/8/17,0.0569,54.747,0.127,3,0.0998,A Million Dreams,Ziv Zaifman,N
